month,platform,sentiment,count,total,pct
2024-07,blinkit,Negative,1,1,100.0
2024-08,blinkit,Negative,2,6,33.33
2024-08,blinkit,Positive,4,6,66.67
2024-09,blinkit,Negative,2,5,40.0
2024-09,blinkit,Positive,3,5,60.0
2024-10,blinkit,Negative,218,351,62.11
2024-10,blinkit,Neutral,20,351,5.7
2024-10,blinkit,Positive,113,351,32.19
2024-11,blinkit,Negative,198,329,60.18
2024-11,blinkit,Neutral,18,329,5.47
2024-11,blinkit,Positive,113,329,34.35
2024-12,blinkit,Negative,375,688,54.51
2024-12,blinkit,Neutral,40,688,5.81
2024-12,blinkit,Positive,273,688,39.68
2020-07,jiomart,Negative,5,7,71.43
2020-07,jiomart,Positive,2,7,28.57
2020-08,jiomart,Negative,20,21,95.24
2020-08,jiomart,Neutral,1,21,4.76
2020-09,jiomart,Negative,4,6,66.67
2020-09,jiomart,Neutral,1,6,16.67
2020-09,jiomart,Positive,1,6,16.67
2020-10,jiomart,Negative,6,7,85.71
2020-10,jiomart,Positive,1,7,14.29
2020-11,jiomart,Negative,3,5,60.0
2020-11,jiomart,Neutral,2,5,40.0
2020-12,jiomart,Negative,2,2,100.0
2021-01,jiomart,Negative,6,7,85.71
2021-01,jiomart,Neutral,1,7,14.29
2021-02,jiomart,Negative,1,1,100.0
2021-03,jiomart,Negative,2,2,100.0
2021-04,jiomart,Negative,5,7,71.43
2021-04,jiomart,Neutral,1,7,14.29
2021-04,jiomart,Positive,1,7,14.29
2021-05,jiomart,Negative,12,13,92.31
2021-05,jiomart,Positive,1,13,7.69
2021-06,jiomart,Negative,1,1,100.0
2021-07,jiomart,Negative,1,1,100.0
2021-08,jiomart,Negative,3,3,100.0
2021-09,jiomart,Negative,3,3,100.0
2021-10,jiomart,Negative,2,2,100.0
2021-11,jiomart,Negative,4,4,100.0
2021-12,jiomart,Negative,2,2,100.0
2022-01,jiomart,Negative,3,3,100.0
2022-03,jiomart,Negative,1,1,100.0
2022-04,jiomart,Negative,2,2,100.0
2022-06,jiomart,Negative,1,1,100.0
2022-07,jiomart,Negative,3,3,100.0
2022-08,jiomart,Negative,4,4,100.0
2022-09,jiomart,Negative,2,3,66.67
2022-09,jiomart,Positive,1,3,33.33
2022-10,jiomart,Negative,3,3,100.0
2022-12,jiomart,Negative,3,3,100.0
2023-02,jiomart,Negative,2,2,100.0
2023-03,jiomart,Negative,3,4,75.0
2023-03,jiomart,Positive,1,4,25.0
2023-04,jiomart,Negative,2,2,100.0
2023-05,jiomart,Negative,6,6,100.0
2023-06,jiomart,Negative,4,4,100.0
2023-07,jiomart,Negative,4,4,100.0
2023-08,jiomart,Negative,4,4,100.0
2023-09,jiomart,Negative,2,2,100.0
2023-10,jiomart,Negative,2,2,100.0
2023-11,jiomart,Negative,1,1,100.0
2023-12,jiomart,Negative,2,2,100.0
2024-01,jiomart,Negative,2,2,100.0
2024-02,jiomart,Negative,2,2,100.0
2024-03,jiomart,Negative,1,2,50.0
2024-03,jiomart,Neutral,1,2,50.0
2024-04,jiomart,Negative,4,4,100.0
2024-05,jiomart,Negative,4,4,100.0
2024-06,jiomart,Negative,1,1,100.0
2024-07,jiomart,Negative,79,82,96.34
2024-07,jiomart,Neutral,1,82,1.22
2024-07,jiomart,Positive,2,82,2.44
2024-08,jiomart,Negative,162,174,93.1
2024-08,jiomart,Neutral,2,174,1.15
2024-08,jiomart,Positive,10,174,5.75
2024-09,jiomart,Negative,139,152,91.45
2024-09,jiomart,Neutral,6,152,3.95
2024-09,jiomart,Positive,7,152,4.61
2024-10,jiomart,Negative,199,237,83.97
2024-10,jiomart,Neutral,10,237,4.22
2024-10,jiomart,Positive,28,237,11.81
2024-11,jiomart,Negative,246,299,82.27
2024-11,jiomart,Neutral,13,299,4.35
2024-11,jiomart,Positive,40,299,13.38
2024-12,jiomart,Negative,320,391,81.84
2024-12,jiomart,Neutral,8,391,2.05
2024-12,jiomart,Positive,63,391,16.11
2024-08,zepto,Negative,1,1,100.0
2024-10,zepto,Negative,198,234,84.62
2024-10,zepto,Neutral,7,234,2.99
2024-10,zepto,Positive,29,234,12.39
2024-11,zepto,Negative,320,372,86.02
2024-11,zepto,Neutral,16,372,4.3
2024-11,zepto,Positive,36,372,9.68
2024-12,zepto,Negative,974,1133,85.97
2024-12,zepto,Neutral,40,1133,3.53
2024-12,zepto,Positive,119,1133,10.5
